"scenario","dr_label","prtp","eta","trial","scc_2020usd_per_tco2"
"baseline","3.0%",0.007732453194507549,1.567899391,37,89.60807608537341
"baseline","3.0%",0.007732453194507549,1.567899391,38,182.07018607141669
"baseline","3.0%",0.007732453194507549,1.567899391,39,62.63960388967729
"baseline","3.0%",0.007732453194507549,1.567899391,40,77.78504604374156
"baseline","3.0%",0.007732453194507549,1.567899391,41,91.57750941258814
"baseline","3.0%",0.007732453194507549,1.567899391,42,79.86258596483093
"baseline","3.0%",0.007732453194507549,1.567899391,43,49.819889419131485
"baseline","3.0%",0.007732453194507549,1.567899391,44,349.6454307939693
"baseline","3.0%",0.007732453194507549,1.567899391,45,40.45965493922414
"baseline","3.0%",0.007732453194507549,1.567899391,46,19.6076508391951
"baseline","3.0%",0.007732453194507549,1.567899391,47,58.227075445369394
"baseline","3.0%",0.007732453194507549,1.567899391,48,61.122083109980544
"baseline","3.0%",0.007732453194507549,1.567899391,49,37.07974725055224
"baseline","3.0%",0.007732453194507549,1.567899391,50,66.37172194489432
"baseline","3.0%",0.007732453194507549,1.567899391,51,71.78966829449983
"baseline","3.0%",0.007732453194507549,1.567899391,52,119.61069552959674
"baseline","3.0%",0.007732453194507549,1.567899391,53,44.142512868783726
"baseline","3.0%",0.007732453194507549,1.567899391,54,0.23787974362759282
"baseline","3.0%",0.007732453194507549,1.567899391,55,182.34040960508264
"baseline","3.0%",0.007732453194507549,1.567899391,56,166.25617664114066
"baseline","3.0%",0.007732453194507549,1.567899391,57,35.65286149708047
"baseline","3.0%",0.007732453194507549,1.567899391,58,30.788945855338394
"baseline","3.0%",0.007732453194507549,1.567899391,59,163.8884078770931
"baseline","3.0%",0.007732453194507549,1.567899391,60,154.79347747881727
"baseline","3.0%",0.007732453194507549,1.567899391,61,82.95900356471905
"baseline","3.0%",0.007732453194507549,1.567899391,62,26.249276473833618
"baseline","3.0%",0.007732453194507549,1.567899391,63,149.55194526479053
"baseline","3.0%",0.007732453194507549,1.567899391,64,69.77824509937975
"baseline","3.0%",0.007732453194507549,1.567899391,65,0.34931198365365523
"baseline","3.0%",0.007732453194507549,1.567899391,66,38.27277096918711
"baseline","3.0%",0.007732453194507549,1.567899391,67,86.64295597485653
"baseline","3.0%",0.007732453194507549,1.567899391,68,739.5194227072711
"baseline","3.0%",0.007732453194507549,1.567899391,69,41.52578185000741
"baseline","3.0%",0.007732453194507549,1.567899391,70,73.352171522113
"baseline","3.0%",0.007732453194507549,1.567899391,71,41.568909400707795
"baseline","3.0%",0.007732453194507549,1.567899391,72,149.97852022030318
"baseline","3.0%",0.007732453194507549,1.567899391,73,105.21953945360917
"baseline","3.0%",0.007732453194507549,1.567899391,74,27.501386199568817
"baseline","3.0%",0.007732453194507549,1.567899391,75,76.98836205252844
"baseline","3.0%",0.007732453194507549,1.567899391,76,45.97036403213258
"baseline","3.0%",0.007732453194507549,1.567899391,77,77.4568261755976
"baseline","3.0%",0.007732453194507549,1.567899391,78,52.25720919429779
"baseline","3.0%",0.007732453194507549,1.567899391,79,92.32033465525778
"baseline","3.0%",0.007732453194507549,1.567899391,80,61.686334492067786
"baseline","3.0%",0.007732453194507549,1.567899391,81,33.698268780749125
"baseline","3.0%",0.007732453194507549,1.567899391,82,59.11504032304413
"baseline","3.0%",0.007732453194507549,1.567899391,83,37.330347762989284
"baseline","3.0%",0.007732453194507549,1.567899391,84,48.05567735498143
"baseline","3.0%",0.007732453194507549,1.567899391,85,217.75131970921717
"baseline","3.0%",0.007732453194507549,1.567899391,86,206.53691340151633
"baseline","3.0%",0.007732453194507549,1.567899391,87,80.83847109907383
"baseline","3.0%",0.007732453194507549,1.567899391,88,42.15231683703294
"baseline","3.0%",0.007732453194507549,1.567899391,89,76.04434148721215
